experiment_key,plot_label,video_key,architecture,variant,tracker,region_mode,direction,class,tp,fp,fn,precision,recall,f1,matched_time_mae_s,match_tolerance_s,min_duration_s,max_duration_s,min_avg_conf
mubi_road__yolo26l_default__botsort__roi,YOLO26l default | botsort | ROI,mubi_road,YOLO26l,default,botsort,roi,upward,truck,0,0,5,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__full_frame,YOLO26l default | bytetrack | Full frame,mubi_road,YOLO26l,default,bytetrack,full_frame,downward,bus,0,0,1,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__full_frame,YOLO26l default | bytetrack | Full frame,mubi_road,YOLO26l,default,bytetrack,full_frame,downward,car,0,0,35,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__full_frame,YOLO26l default | bytetrack | Full frame,mubi_road,YOLO26l,default,bytetrack,full_frame,downward,keke,0,0,156,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__full_frame,YOLO26l default | bytetrack | Full frame,mubi_road,YOLO26l,default,bytetrack,full_frame,downward,truck,0,0,2,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__full_frame,YOLO26l default | bytetrack | Full frame,mubi_road,YOLO26l,default,bytetrack,full_frame,upward,bus,0,0,0,,,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__full_frame,YOLO26l default | bytetrack | Full frame,mubi_road,YOLO26l,default,bytetrack,full_frame,upward,car,0,1,17,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__full_frame,YOLO26l default | bytetrack | Full frame,mubi_road,YOLO26l,default,bytetrack,full_frame,upward,keke,0,0,120,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__full_frame,YOLO26l default | bytetrack | Full frame,mubi_road,YOLO26l,default,bytetrack,full_frame,upward,truck,0,0,5,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__roi,YOLO26l default | bytetrack | ROI,mubi_road,YOLO26l,default,bytetrack,roi,downward,bus,0,1,1,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__roi,YOLO26l default | bytetrack | ROI,mubi_road,YOLO26l,default,bytetrack,roi,downward,car,33,11,2,0.75,0.9428571428571428,0.8354430379746834,0.18787878787878312,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__roi,YOLO26l default | bytetrack | ROI,mubi_road,YOLO26l,default,bytetrack,roi,downward,keke,0,0,156,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__roi,YOLO26l default | bytetrack | ROI,mubi_road,YOLO26l,default,bytetrack,roi,downward,truck,0,2,2,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__roi,YOLO26l default | bytetrack | ROI,mubi_road,YOLO26l,default,bytetrack,roi,upward,bus,0,1,0,0.0,,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__roi,YOLO26l default | bytetrack | ROI,mubi_road,YOLO26l,default,bytetrack,roi,upward,car,15,11,2,0.5769230769230769,0.8823529411764706,0.6976744186046512,0.19555555555554777,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__roi,YOLO26l default | bytetrack | ROI,mubi_road,YOLO26l,default,bytetrack,roi,upward,keke,0,0,120,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__roi,YOLO26l default | bytetrack | ROI,mubi_road,YOLO26l,default,bytetrack,roi,upward,truck,0,0,5,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_tuned__botsort__full_frame,YOLO26l tuned | botsort | Full frame,mubi_road,YOLO26l,tuned,botsort,full_frame,downward,bus,0,0,1,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_tuned__botsort__full_frame,YOLO26l tuned | botsort | Full frame,mubi_road,YOLO26l,tuned,botsort,full_frame,downward,car,0,1,35,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_tuned__botsort__full_frame,YOLO26l tuned | botsort | Full frame,mubi_road,YOLO26l,tuned,botsort,full_frame,downward,keke,1,1,155,0.5,0.00641025641025641,0.012658227848101266,0.39999999999997726,1.0,0.15,10.0,0.4
mubi_road__yolo26l_tuned__botsort__full_frame,YOLO26l tuned | botsort | Full frame,mubi_road,YOLO26l,tuned,botsort,full_frame,downward,truck,0,1,2,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_tuned__botsort__full_frame,YOLO26l tuned | botsort | Full frame,mubi_road,YOLO26l,tuned,botsort,full_frame,upward,bus,0,0,0,,,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_tuned__botsort__full_frame,YOLO26l tuned | botsort | Full frame,mubi_road,YOLO26l,tuned,botsort,full_frame,upward,car,0,4,17,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_tuned__botsort__full_frame,YOLO26l tuned | botsort | Full frame,mubi_road,YOLO26l,tuned,botsort,full_frame,upward,keke,0,1,120,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_tuned__botsort__full_frame,YOLO26l tuned | botsort | Full frame,mubi_road,YOLO26l,tuned,botsort,full_frame,upward,truck,0,0,5,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_tuned__botsort__roi,YOLO26l tuned | botsort | ROI,mubi_road,YOLO26l,tuned,botsort,roi,downward,bus,0,33,1,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_tuned__botsort__roi,YOLO26l tuned | botsort | ROI,mubi_road,YOLO26l,tuned,botsort,roi,downward,car,34,42,1,0.4473684210526316,0.9714285714285714,0.6126126126126126,0.19607843137255318,1.0,0.15,10.0,0.4
mubi_road__yolo26l_tuned__botsort__roi,YOLO26l tuned | botsort | ROI,mubi_road,YOLO26l,tuned,botsort,roi,downward,keke,49,5,107,0.9074074074074074,0.3141025641025641,0.4666666666666666,0.24761904761904188,1.0,0.15,10.0,0.4
mubi_road__yolo26l_tuned__botsort__roi,YOLO26l tuned | botsort | ROI,mubi_road,YOLO26l,tuned,botsort,roi,downward,truck,0,34,2,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_tuned__botsort__roi,YOLO26l tuned | botsort | ROI,mubi_road,YOLO26l,tuned,botsort,roi,upward,bus,0,12,0,0.0,,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_tuned__botsort__roi,YOLO26l tuned | botsort | ROI,mubi_road,YOLO26l,tuned,botsort,roi,upward,car,17,27,0,0.38636363636363635,1.0,0.5573770491803279,0.19215686274509297,1.0,0.15,10.0,0.4
mubi_road__yolo26l_tuned__botsort__roi,YOLO26l tuned | botsort | ROI,mubi_road,YOLO26l,tuned,botsort,roi,upward,keke,36,4,84,0.9,0.3,0.45000000000000007,0.3277777777777663,1.0,0.15,10.0,0.4
mubi_road__yolo26l_tuned__botsort__roi,YOLO26l tuned | botsort | ROI,mubi_road,YOLO26l,tuned,botsort,roi,upward,truck,1,5,4,0.16666666666666666,0.2,0.1818181818181818,0.9333333333332803,1.0,0.15,10.0,0.4
mubi_road__yolo26l_tuned__bytetrack__full_frame,YOLO26l tuned | bytetrack | Full frame,mubi_road,YOLO26l,tuned,bytetrack,full_frame,downward,bus,0,0,1,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_tuned__bytetrack__full_frame,YOLO26l tuned | bytetrack | Full frame,mubi_road,YOLO26l,tuned,bytetrack,full_frame,downward,car,1,1,34,0.5,0.02857142857142857,0.05405405405405405,0.36666666666667425,1.0,0.15,10.0,0.4
mubi_road__yolo26l_tuned__bytetrack__full_frame,YOLO26l tuned | bytetrack | Full frame,mubi_road,YOLO26l,tuned,bytetrack,full_frame,downward,keke,1,2,155,0.3333333333333333,0.00641025641025641,0.012578616352201259,0.39999999999997726,1.0,0.15,10.0,0.4
mubi_road__yolo26l_tuned__bytetrack__full_frame,YOLO26l tuned | bytetrack | Full frame,mubi_road,YOLO26l,tuned,bytetrack,full_frame,downward,truck,0,0,2,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_tuned__bytetrack__full_frame,YOLO26l tuned | bytetrack | Full frame,mubi_road,YOLO26l,tuned,bytetrack,full_frame,upward,bus,0,0,0,,,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_tuned__bytetrack__full_frame,YOLO26l tuned | bytetrack | Full frame,mubi_road,YOLO26l,tuned,bytetrack,full_frame,upward,car,0,4,17,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_tuned__bytetrack__full_frame,YOLO26l tuned | bytetrack | Full frame,mubi_road,YOLO26l,tuned,bytetrack,full_frame,upward,keke,0,1,120,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_tuned__bytetrack__full_frame,YOLO26l tuned | bytetrack | Full frame,mubi_road,YOLO26l,tuned,bytetrack,full_frame,upward,truck,0,0,5,,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_tuned__bytetrack__roi,YOLO26l tuned | bytetrack | ROI,mubi_road,YOLO26l,tuned,bytetrack,roi,downward,bus,0,29,1,0.0,0.0,,,1.0,0.15,10.0,0.4
mubi_road__yolo26l_tuned__bytetrack__roi,YOLO26l tuned | bytetrack | ROI,mubi_road,YOLO26l,tuned,bytetrack,roi,downward,car,34,31,1,0.5230769230769231,0.9714285714285714,0.68,0.1941176470588277,1.0,0.15,10.0,0.4
