experiment_key,plot_label,video_key,scene,architecture,variant,tracker,region_mode,direction,class,predicted_count,manual_count,signed_error,abs_error,pct_error,abs_pct_error,count_accuracy,min_duration_s,max_duration_s,min_avg_conf
mubi_road__yolo11l_tuned__bytetrack__roi,YOLO11l tuned | bytetrack | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,bytetrack,roi,downward,truck,42,2,40,40,2000.0,2000.0,0.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__bytetrack__roi,YOLO11l tuned | bytetrack | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,bytetrack,roi,upward,bus,2,0,2,2,,,,0.15,10.0,0.4
mubi_road__yolo11l_tuned__bytetrack__roi,YOLO11l tuned | bytetrack | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,bytetrack,roi,upward,car,114,17,97,97,570.5882352941177,570.5882352941177,0.0,0.15,10.0,0.4
mubi_road__yolo11l_tuned__bytetrack__roi,YOLO11l tuned | bytetrack | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,bytetrack,roi,upward,keke,23,120,-97,97,-80.83333333333333,80.83333333333333,0.19166666666666665,0.15,10.0,0.4
mubi_road__yolo11l_tuned__bytetrack__roi,YOLO11l tuned | bytetrack | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO11l,tuned,bytetrack,roi,upward,truck,6,5,1,1,20.0,20.0,0.8,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__full_frame,YOLO26l default | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,botsort,full_frame,downward,bus,0,1,-1,1,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__full_frame,YOLO26l default | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,botsort,full_frame,downward,car,0,35,-35,35,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__full_frame,YOLO26l default | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,botsort,full_frame,downward,keke,0,156,-156,156,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__full_frame,YOLO26l default | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,botsort,full_frame,downward,truck,0,2,-2,2,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__full_frame,YOLO26l default | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,botsort,full_frame,upward,bus,0,0,0,0,,,,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__full_frame,YOLO26l default | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,botsort,full_frame,upward,car,0,17,-17,17,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__full_frame,YOLO26l default | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,botsort,full_frame,upward,keke,0,120,-120,120,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__full_frame,YOLO26l default | botsort | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,botsort,full_frame,upward,truck,0,5,-5,5,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__roi,YOLO26l default | botsort | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,botsort,roi,downward,bus,1,1,0,0,0.0,0.0,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__roi,YOLO26l default | botsort | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,botsort,roi,downward,car,42,35,7,7,20.0,20.0,0.8,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__roi,YOLO26l default | botsort | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,botsort,roi,downward,keke,0,156,-156,156,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__roi,YOLO26l default | botsort | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,botsort,roi,downward,truck,3,2,1,1,50.0,50.0,0.5,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__roi,YOLO26l default | botsort | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,botsort,roi,upward,bus,1,0,1,1,,,,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__roi,YOLO26l default | botsort | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,botsort,roi,upward,car,27,17,10,10,58.8235294117647,58.8235294117647,0.4117647058823529,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__roi,YOLO26l default | botsort | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,botsort,roi,upward,keke,0,120,-120,120,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo26l_default__botsort__roi,YOLO26l default | botsort | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,botsort,roi,upward,truck,0,5,-5,5,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__full_frame,YOLO26l default | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,bytetrack,full_frame,downward,bus,0,1,-1,1,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__full_frame,YOLO26l default | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,bytetrack,full_frame,downward,car,0,35,-35,35,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__full_frame,YOLO26l default | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,bytetrack,full_frame,downward,keke,0,156,-156,156,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__full_frame,YOLO26l default | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,bytetrack,full_frame,downward,truck,0,2,-2,2,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__full_frame,YOLO26l default | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,bytetrack,full_frame,upward,bus,0,0,0,0,,,,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__full_frame,YOLO26l default | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,bytetrack,full_frame,upward,car,1,17,-16,16,-94.11764705882354,94.11764705882354,0.05882352941176472,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__full_frame,YOLO26l default | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,bytetrack,full_frame,upward,keke,0,120,-120,120,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__full_frame,YOLO26l default | bytetrack | Full frame,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,bytetrack,full_frame,upward,truck,0,5,-5,5,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__roi,YOLO26l default | bytetrack | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,bytetrack,roi,downward,bus,1,1,0,0,0.0,0.0,1.0,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__roi,YOLO26l default | bytetrack | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,bytetrack,roi,downward,car,44,35,9,9,25.714285714285715,25.714285714285715,0.7428571428571429,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__roi,YOLO26l default | bytetrack | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,bytetrack,roi,downward,keke,0,156,-156,156,-100.0,100.0,0.0,0.15,10.0,0.4
mubi_road__yolo26l_default__bytetrack__roi,YOLO26l default | bytetrack | ROI,mubi_road,"evening, higher congestion, cloudy / low visibility",YOLO26l,default,bytetrack,roi,downward,truck,2,2,0,0,0.0,0.0,1.0,0.15,10.0,0.4
