epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,25125.4,1.00679,0.69712,0.00493,0.7706,0.6899,0.75461,0.56929,1.1258,1.11437,0.00865,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,25418.6,0.99782,0.69002,0.00479,0.7729,0.68849,0.75415,0.56937,1.12629,1.11447,0.00865,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,25711.8,0.99345,0.67959,0.00485,0.77209,0.68844,0.7532,0.56824,1.12702,1.11598,0.00866,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,26004.9,0.98784,0.66886,0.00476,0.77466,0.68828,0.75366,0.56887,1.12895,1.1154,0.00867,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,26298,0.98409,0.67023,0.00471,0.77209,0.68975,0.75333,0.56867,1.12896,1.11876,0.00866,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,26591.2,0.97454,0.65282,0.00469,0.77399,0.69027,0.75316,0.5687,1.12845,1.12368,0.00866,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,26884.3,0.97544,0.65911,0.00467,0.77438,0.68864,0.75319,0.56872,1.12901,1.12412,0.00867,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,27176.9,0.93353,0.5539,0.00469,0.77554,0.6883,0.75265,0.5677,1.13011,1.12507,0.00867,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,27469.1,0.92976,0.55146,0.00462,0.77383,0.68868,0.75293,0.56859,1.13051,1.12858,0.00867,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,27761.4,0.92197,0.53604,0.00452,0.77544,0.68841,0.75262,0.56778,1.13055,1.12701,0.00868,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,28056.9,0.91503,0.52931,0.0045,0.77723,0.68606,0.75179,0.56745,1.13092,1.13112,0.00867,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,28357.7,0.90956,0.52212,0.0044,0.77721,0.6847,0.75066,0.56627,1.13066,1.13651,0.00866,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,28651.2,0.90231,0.51511,0.00436,0.77863,0.68307,0.75063,0.5669,1.13201,1.13871,0.00867,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,28943.8,0.89679,0.50848,0.00433,0.77979,0.68234,0.75012,0.56685,1.13332,1.14098,0.00867,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,29236.3,0.89512,0.50561,0.00429,0.7829,0.68032,0.74931,0.56628,1.13348,1.1443,0.00868,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,29528.9,0.88756,0.50371,0.00421,0.78582,0.67881,0.74877,0.56611,1.13385,1.14782,0.00868,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,29821.4,0.88106,0.49801,0.0042,0.78118,0.68059,0.74873,0.56598,1.13486,1.14922,0.00869,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
